X,Y,id,vertex_index,vertex_part,vertex_part_index,distance,angle
516942.8037,-1018408.165,,15,0,15,266098.57736492727417,77.90524292298738
510984.5205,-1019684.94,,14,0,14,260005.03222339466447,82.16445427399526
504175.0541,-1020110.531,,13,0,13,253182.27899016492302,83.48067170848880
493960.8544,-1021812.898,,12,0,12,242827.18713651283178,74.36813415281084
487576.9796,-1024366.448,,11,0,11,235951.54355181264691,70.74967313982718
479065.1465,-1026919.998,,10,0,10,227064.92893045002711,65.51255572571473
470978.9051,-1032027.098,,9,0,9,217500.94602253127960,53.95939229657820
465871.8052,-1036283.014,,8,0,8,210852.99187413832988,46.98777683630144
456083.1972,-1046497.214,,7,0,7,196705.66978106729221,38.73559614542425
444166.6309,-1064372.063,,6,0,6,175222.77437116202782,40.26883889598722
423738.2315,-1083523.688,,5,0,5,147220.91339080067701,46.50837479695116
391818.8575,-1114166.287,,4,0,4,102973.70653592077724,50.67232508547536
362453.0334,-1134594.686,,3,0,3,67201.21535060324823,58.99719987878278
346706.1423,-1142680.928,,2,0,2,49499.46735396499571,64.09766206417950
326277.7429,-1152043.944,,1,0,1,27027.58322001266060,64.60743438590852
302019.0186,-1163960.51,,0,0,0,0,63.83843355798032
