X,Y,id,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
244408.860289337,-1884750.06180659,,"0","0","0","0",0.00000000000000,317.10718800818370
218191.177215598,-1861915.30558107,,"1","0","0","1",34767.70049390197528,314.32868798673104
182670.445309242,-1823011.64682649,,"2","0","0","2",87448.02945696009556,321.47562314524771
142921.054842606,-1765501.89040668,,"3","0","0","3",157357.87229711725377,326.79460200159116
131926.542585877,-1747741.5244535,,"4","0","0","4",178245.90472131079878,333.45183031169063
110783.249784475,-1693614.69488191,,"5","0","0","5",236355.73616107457201,339.38898779716953
96405.8106795211,-1653865.30441527,,"6","0","0","6",278625.40374535729643,335.83595313089057
74416.7861660628,-1613270.18223658,,"7","0","0","7",324793.37038626981666,334.13140579928984
51743.7489524801,-1560609.45691644,,"8","0","0","8",382127.64118246792350,334.65915903293342
27176.425059389,-1513188.80847164,,"9","0","0","9",435534.30090008839034,336.86324523660721
12321.7641007757,-1469767.49182338,,"10","0","0","10",481426.25762088323245,349.38030788209124
10607.7647593973,-1428060.17451651,,"11","0","0","11",523168.77923468436347,1.92507551779178
19177.7614662895,-1349216.2048131,,"12","0","0","12",602477.14198507892434,9.06837599712095
42602.419131795,-1238377.58073729,,"13","0","0","13",715764.01312981534284,16.29878707621765
48316.2115479859,-1223227.90285267,,"14","0","0","14",731955.37390595383476,25.94133641211582
65849.0038784893,-1194298.79550734,,"15","0","0","15",765782.76012928201817,34.87429138958656
84696.7556337804,-1170629.52586116,,"16","0","0","16",796039.52915395866148,42.12316998014860
120200.66010305,-1136002.26100842,,"17","0","0","17",845633.62863913027104,45.35807997273518
126775.457226988,-1129427.46388448,,"18","0","0","18",854931.79590165615082,49.48631330744812
141240.010899654,-1118907.78848618,,"19","0","0","19",872817.17773809062783,54.35010258314896
159211.12303842,-1106196.51404656,,"20","0","0","20",894829.38729059346952,54.12917208067482
179373.834218499,-1091293.64056563,,"21","0","0","21",919901.89335041586310,60.10652861159668
204796.383097728,-1080335.64535907,,"22","0","0","22",947585.52841635188088,68.46772750390960
221890.855619969,-1074199.16804339,,"23","0","0","23",965748.05425004172139,73.91361026457302
247751.724307462,-1068501.01053598,,"24","0","0","24",992229.24622191151138,80.43211016340784
270106.034528853,-1065871.0916864,,"25","0","0","25",1014737.72592689318117,86.64508159612174
295966.903216346,-1065871.0916864,,"26","0","0","26",1040598.59461438574363,95.57144492916960
324896.010561676,-1071569.24919382,,"27","0","0","27",1070083.54417813685723,98.54487645615635
345935.36135828,-1073760.84823513,,"28","0","0","28",1091236.73278648732230,89.74402333762735
369166.311196197,-1071130.92938555,,"29","0","0","29",1114616.07203136687167,82.10355484224242
398364.739452025,-1066331.67163116,,"30","0","0","30",1144206.29148989543319,71.86912410608164
413067.266857107,-1058863.72120318,,"31","0","0","31",1160696.73101381072775,52.73487997322968
417968.109325467,-1053496.13183307,,"32","0","0","32",1167965.10583530925214,39.95304358394179
438576.44592666,-1026647.2178349,,"33","0","0","33",1201811.34226344688796,37.42899920751224
446925.002980263,-1015707.7292819,,"34","0","0","34",1215572.54913924215361,24.32964075933041
450091.697035078,-999874.259007822,,"35","0","0","35",1231719.58391832234338,10.51875551271103
451818.984701341,-989798.414287956,,"36","0","0","36",1241942.40982415084727,7.59985008135628
454605.065316949,-960715.543038449,,"37","0","0","37",1271158.42675514402799,6.80111198273333
455375.337668152,-955323.636580025,,"38","0","0","38",1276605.07478410890326,31.81078968324371
