X,Y,id,vertex_index,vertex_part,vertex_part_index,distance,angle
328971.043653273,-2579867.78180679,,"0","0","0",0.00000000000000,274.39870535499824
323609.54263045,-2579455.35865119,,"1","0","1",5377.34005592128233,274.39870535499620
316907.66635192,-2578939.82970669,,"2","0","2",12099.01512582296527,275.30107662834206
312164.800062499,-2578424.30076219,,"3","0","3",16869.81702193486490,279.08979017294632
305359.817995069,-2576980.81971758,,"4","0","4",23826.21109244172112,287.13086004551832
299070.364872141,-2574403.17499507,,"5","0","5",30623.37762718229351,311.58076707602845
295049.239105024,-2567185.76977204,,"6","0","6",38885.36229119783093,322.23938273896363
290718.795971204,-2563061.53821602,,"7","0","7",44865.49804742434935,309.52426465015071
284635.554426078,-2558731.0950822,,"8","0","8",52332.66387065316667,311.08326258063482
272984.600280326,-2546358.40041414,,"9","0","9",69327.61329262291838,317.54363774855153
267210.676101901,-2539862.73571342,,"10","0","10",78018.52005328382074,316.53003452058005
257518.731945258,-2530273.89734567,,"11","0","11",91652.28705944074318,316.31464091207420
242463.548844284,-2513591.12688243,,"12","0","12",114123.89956350841385,315.73343636601692
234325.612032947,-2505860.08691166,,"13","0","13",125348.64876226404158,313.53119928561523
