X,Y,id,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
279179.450688369,-2248892.17339313,,"0","0","0","0",0.00000000000000,89.64436214806194
295865.522963473,-2284273.30287028,,"1","0","0","1",39118.40143780643120,151.73451989787091
320528.541873347,-2324865.63528551,,"2","0","0","2",86615.79034137295093,145.63373287222950
338074.214051349,-2347772.48507345,,"3","0","0","3",115470.15533846592007,136.08921353636401
353670.367098461,-2360688.04931559,,"4","0","0","4",135719.89088147532311,131.81195964960509
360737.373947934,-2367511.36627371,,"5","0","0","5",145543.34445551701356,148.04939053485316
368291.76058013,-2390905.59584437,,"6","0","0","6",170127.05317885367549,168.39466070250802
369266.520145574,-2401384.2611729,,"7","0","0","7",180650.95850329173845,162.62899896343237
374627.697755519,-2410888.16693599,,"8","0","0","8",191562.71592906687874,157.65871244687605
376820.906777769,-2418929.9333509,,"9","0","0","9",199898.19269331829855,182.36399390942171
375846.147212325,-2421610.52215588,,"10","0","0","10",202750.50974297613720,199.73667093570549
373540.308420352,-2428125.53846312,,"11","0","0","11",209661.53933474028599,194.80745350245408
372628.975190137,-2433229.00455233,,"12","0","0","12",214845.73593403454288,185.51702605229863
372446.708544094,-2444711.80325303,,"13","0","0","13",226329.98110431834357,191.35539496777599
371353.108667837,-2447445.80294367,,"14","0","0","14",229274.58888767287135,196.55567098018636
370259.508791579,-2452913.80232496,,"15","0","0","15",234850.87599677345133,234.92034904198377
366614.17587072,-2452367.00238683,,"16","0","0","16",238536.99079100260860,279.85625991007174
350939.244311027,-2449268.4694041,,"17","0","0","17",254515.23806803935440,277.37904429259873
345106.711637653,-2448903.93611202,,"18","0","0","18",260359.15130379304173,267.05700608348729
333077.112998819,-2450908.86921849,,"19","0","0","19",272554.68327959772432,256.71747441146084
318860.314607469,-2455283.26872352,,"20","0","0","20",287429.24974487302825,245.81676966828559
308653.382429064,-2461480.33468898,,"21","0","0","21",299370.14967221609550,246.27353102429612
303003.116401733,-2463120.73450337,,"22","0","0","22",305253.72152362187626,243.74198389542573
296806.050436273,-2467677.40065444,,"23","0","0","23",312945.71950806002133,226.73937257007347
291338.051054984,-2474238.99991199,,"24","0","0","24",321487.00758717302233,219.23268967317728
286963.651549954,-2479706.99929328,,"25","0","0","25",328489.46346089208964,198.84439316150508
287145.918195997,-2490460.73140981,,"26","0","0","26",339244.74009910243331,180.77754749027031
286599.118257868,-2502854.86334073,,"27","0","0","27",351650.92792991426541,164.07288609388752
291338.051054984,-2509780.99589036,,"28","0","0","28",360043.11454310733825,151.90912289490180
293525.2508075,-2515248.99527165,,"29","0","0","29",365932.33010981685948,170.43079563985762
293160.717515414,-2523086.4610515,,"30","0","0","30",373778.26882811594987,183.92871483690095
292796.184223328,-2527096.32726444,,"31","0","0","31",377804.67064198857406,174.62451650340620
293889.784099585,-2530923.92683134,,"32","0","0","32",381785.43427901848918,144.37487881515486
298628.716896702,-2534204.72646012,,"33","0","0","33",387549.21170877252007,134.57873786962767
300451.383357132,-2536756.45950472,,"34","0","0","34",390685.04565796104725,142.32837555787953
304096.71627799,-2541130.85900975,,"35","0","0","35",396379.23771070316434,144.80760101762434
306466.182676549,-2545140.72522269,,"36","0","0","36",401036.85491906345123,167.13078985589499
306210.899192857,-2548155.06726654,,"37","0","0","37",404061.98757968185237,165.98227241603280
308471.321303824,-2551652.32411747,,"38","0","0","38",408226.15779727860354,147.93000327670399
309921.403412746,-2554040.69464981,,"39","0","0","39",411020.26801743358374,167.15423305479061
309750.805517579,-2555789.32307527,,"40","0","0","40",412777.19858298799954,189.63957940402025
309324.310779661,-2557537.95150074,,"41","0","0","41",414577.08722727018176,189.01149426197259
309153.712884493,-2559798.37361171,,"42","0","0","42",416843.93785348732490,162.66251673867916
310603.794993415,-2561589.65151096,,"43","0","0","43",419148.58850705303485,150.64006098460916
312821.56763059,-2567773.82521078,,"44","0","0","44",425718.40736450115219,151.36815343392360
315508.484479475,-2571271.08206171,,"45","0","0","45",430128.65992350451415,119.60938244582302
