x;y
274577.889141634;-2205337.72644112
273716.183122072;-2210330.25590407
271375.226684622;-2219192.44737498
266358.891524814;-2229893.96161176
265476.890580103;-2232237.17921743
259848.854274847;-2240835.35906739
253285.612052016;-2248592.53093002
241805.835756443;-2258818.18873072
228003.303172026;-2267930.58606221
217951.271426376;-2274108.51825354
208495.70994854;-2279361.15678551
192587.44890346;-2287360.90215273
183783.179169618;-2292182.1867791
175797.371567119;-2295677.15964231
168393.76262024;-2298799.33112589
159795.523623925;-2301665.69394263
152422.356449641;-2303722.80755513
143183.087586522;-2306519.1494976
134003.635621648;-2308978.75065478
124251.585609533;-2311315.69619551
116844.304816075;-2312788.22620195
108099.878447171;-2315189.61479941
85924.538276352;-2319984.63286131
69441.4972582385;-2322266.96580737
57411.2494393326;-2322699.57289986
44321.9995234199;-2323479.28828071
31807.8857053742;-2323763.78399378
18604.7842087895;-2324144.19672466
6095.44100872055;-2324572.32470101
-4133.46703683957;-2324863.48129462
-12750.0640742071;-2325305.40058674
-26803.9836758785;-2326086.65264354
-35193.1461041309;-2327504.65571554
-40573.5503306165;-2328548.67664681
-46951.0683915317;-2330098.64659696
-55369.6827317923;-2331467.71521959
-65449.4055531882;-2332214.72550947
-82123.5380997099;-2331644.37058056
-89283.8514714427;-2330901.74332711
-99915.1548785977;-2328753.60003407
-112678.816588163;-2325597.71972095
-125880.269609019;-2322107.00120245
-134092.222068861;-2319889.04993399
-139679.883576322;-2318773.29825537
-144734.786565673;-2317541.05772639
-149640.340843618;-2315824.44686334
-159220.803966142;-2312012.91201586
-164145.375528686;-2310171.97487699
-168964.235136762;-2307493.64953371
-174479.45236399;-2304043.61514565
-178496.169871528;-2301657.73820534
-182131.87116944;-2298489.5186363
-183784.939764231;-2296079.18863574
-185237.695811104;-2292358.87161608
-185575.977088917;-2289701.69551748
-185624.193070926;-2289634.72246068
-186144.785473958;-2287370.40191754
-188234.503205681;-2283274.39793449
-215824.68158769;-2278104.17606772
-246130.763460661;-2273143.21290861
-245393.986753863;-2260618.00889304
-208247.722104706;-2254619.15905928
-208946.004497375;-2254445.67483136
-208442.203629777;-2253980.52869302
-207505.909223955;-2253455.815625
-207686.000072449;-2253275.63557813
-207595.91865243;-2252555.9312612
-206156.013987675;-2252556.28064518
-204792.550424419;-2251774.24423207
-203958.932527658;-2251772.81555109
-203095.997905061;-2251296.33406297
-201745.977886006;-2251745.65398811
-202555.963437147;-2250755.88322446
-203005.951239686;-2250936.25826099
-202465.993115813;-2250215.98424097
-201655.99378423;-2250395.74404424
-200595.091776282;-2249748.86874949
-198768.745056909;-2249968.78656372
-195739.765529864;-2250355.6035221
-193593.615104564;-2250410.10913156
-191841.626425572;-2250230.19824402
-189173.187515579;-2249174.57170345
-186788.797731992;-2248053.01498615
-183598.076709431;-2246389.64896351
-180825.414723225;-2244463.24725308
-177993.525417786;-2242590.92816052
-175757.217547737;-2240730.83783535
-173980.583240237;-2238870.74419771
-172245.818141241;-2236843.31982584
-170324.663017374;-2234547.15295359
-167763.464494023;-2232677.65857259
-165720.421912555;-2231457.31566133
-161290.05942471;-2229146.16603083
-156894.418653663;-2227430.38916036
-152440.469218221;-2225817.12850818
-143510.742157068;-2222962.75604575
-133419.317209899;-2220115.40080724
-127464.534996085;-2218251.71361749
-117315.612495359;-2214583.54407654
-104576.410805006;-2209899.49956996
-94458.4157260954;-2206140.69948633
-89341.4556773566;-2204042.3803755
-83597.2366216704;-2201126.21872548
-76649.6293821447;-2198239.76625594
-66132.600418672;-2194279.5860478
-58042.4020210505;-2190930.65178528
-49713.7578067929;-2187592.74350302
-38317.5386745334;-2182969.21962601
-26444.8294763267;-2178183.27982896
-20962.4989365824;-2175139.09795374
-8791.5524453558;-2168919.47230854
4465.86969986185;-2162114.74213309
9757.74521194026;-2159686.62125803
20696.110694062;-2154623.76745635
23755.3616096862;-2152577.09778261
39259.206738092;-2145193.25281468
65811.553348314;-2132206.5261745
88087.0698573701;-2121307.58365142
102246.826487169;-2114513.48828362
113888.631060608;-2109444.93880021
127282.671274763;-2103432.81649806
140413.837956619;-2096686.71297776
147388.063094769;-2093469.18978627
154299.777396135;-2090522.38932427
175968.061019979;-2080324.03381823
192034.045867227;-2073029.83013274
207967.566828687;-2064864.4714832
223871.439876407;-2056541.4434563
247000.233762324;-2042879.19601215
250449.837375183;-2040883.39520688
254674.10651635;-2037886.86348766
258546.689815659;-2035277.8674421
263449.374196101;-2031552.89102322
266216.829898741;-2028834.427382
266882.905052099;-2026856.58368616
266973.992145862;-2025079.46226681
268278.451868724;-2029031.43983041
268341.007905651;-2029217.52441437
268570.714742389;-2029900.64432799
277861.521927662;-2047376.21022411
278709.539426409;-2050050.61186285
280822.679227669;-2056696.90675433
282506.925520297;-2061976.05008669
287152.329112932;-2078787.98689814
286488.700028267;-2094936.29462493
280073.618876539;-2137629.76573823
278967.570402101;-2146699.36322862
277197.892842993;-2157096.21888833
275207.005589008;-2177226.3011231
274322.166809462;-2198020.01244254
274577.889141634;-2205337.72644112
