X,Y,id,vertex_index,vertex_part,vertex_part_index,distance,angle
509380.333608774,-2299553.26084983,,"0","0","0",0.00000000000000,304.69515353123541
506158.13878135,-2297322.51058469,,"1","0","1",3919.02873825858478,292.07873786963074
500209.471407645,-2296331.0660224,,"2","0","2",9949.75057258901143,283.16036048787959
496119.762588222,-2295091.76031955,,"3","0","3",14223.10953864721341,291.02976120660469
489799.30350366,-2292117.42663269,,"4","0","4",21208.44159377306278,299.18981765243353
486577.108676237,-2290010.60693784,,"5","0","5",25058.27649055768416,312.00242684447403
481124.163583673,-2283318.35614242,,"6","0","6",33690.82135816733353,330.67010622854548
478273.760467106,-2275262.86907386,,"7","0","7",42235.74206222641078,346.19188403668869
477034.454764251,-2266587.72915388,,"8","0","8",50998.95672674769594,0.55800519570359
477901.96875625,-2261258.7146316,,"9","0","9",56398.12113477980893,16.66080550032119
480504.510732246,-2255433.97782818,,"10","0","10",62777.83770888682193,14.52261949159422
481000.233013388,-2249733.17159504,,"11","0","11",68500.15649481328728,353.26739595259386
478025.899326535,-2240810.17053449,,"12","0","12",77905.82546663374524,342.63550186023929
475671.21849111,-2232754.68346593,,"13","0","13",86298.40515040440368,356.90172846373764
477282.315904822,-2223707.75183508,,"14","0","14",95487.67099755619711,13.60011667656367
478769.482748248,-2218874.45959395,,"15","0","15",100544.58498816436622,7.45006540364326
478521.621607677,-2212430.0699391,,"16","0","16",106993.73944192873023,351.37550500301774
475423.357350539,-2200904.52690255,,"17","0","17",118928.45283163852582,344.95360816780141
