X,Y,id,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
433295.172459291,-2312378.71508274,,"0","0","0","0",0.00000000000000,312.03157965113706
431898.307481543,-2311338.38787263,,"1","0","0","1",1741.69815701896391,293.99357387295248
427064.537914456,-2310371.63395921,,"2","0","0","2",6671.19522637671707,258.80993247402029
424164.276174203,-2312305.14178605,,"3","0","0","3",10156.87603195883821,230.65496623701125
418847.129650407,-2317622.28830984,,"4","0","0","4",17676.45675903575830,216.72146431218255
412563.229213194,-2329223.33527085,,"5","0","0","5",30870.08004061986139,213.76839375529613
406279.32877598,-2336957.36657819,,"6","0","0","6",40835.15128811835166,231.84307038864029
386944.250507632,-2346141.52875566,,"7","0","0","7",62240.61990118948597,240.10596858360347
368575.9261527,-2358709.32963008,,"8","0","0","8",84496.96637645816372,231.99305796979263
359875.140931943,-2366443.36093742,,"9","0","0","9",96138.22505929200270,272.50151885252330
351657.732667895,-2357742.57571667,,"10","0","0","10",108106.07624635954562,311.60480401006782
336673.047009924,-2346624.90571237,,"11","0","0","11",126764.67722801688069,316.20666821642470
318304.722654993,-2319555.79613668,,"12","0","0","12",159477.54981402831618,326.30429719317573
299936.398300061,-2291519.93264757,,"13","0","0","13",192994.78390617482364,330.10161887747125
281568.07394513,-2254783.28393771,,"14","0","0","14",234067.60579656655318,339.90397698151514
277701.05829146,-2238831.84436632,,"15","0","0","15",250481.08301698992727,350.24780626673260
274317.419594499,-2205962.21131013,,"16","0","0","16",283524.41499305365141,358.14184344079155
275284.173507916,-2180343.23260457,,"17","0","0","17",309161.62784946960164,4.69900075709717
279151.189161586,-2149890.48433192,,"18","0","0","18",339858.91905607416993,7.71749543599220
287368.597425635,-2092852.00344029,,"19","0","0","19",397486.29190095420927,1.89968174551035
285918.466555508,-2074000.30212865,,"20","0","0","20",416393.68521372450050,354.63055144954717
284951.712642091,-2065299.51690789,,"21","0","0","21",425148.01423352083657,54.71456793921406
298969.644386644,-2072066.79430181,,"22","0","0","22",440713.95312975306297,107.67613617393546
336189.670053216,-2078350.69473902,,"23","0","0","23",478460.71080938784871,98.05137323759487
353107.863538021,-2080284.20256586,,"24","0","0","24",495489.03202158433851,96.00606315439227
378243.465286875,-2082701.0873494,,"25","0","0","25",520740.56281347689219,97.42265190361030
419330.506607116,-2089468.36474333,,"26","0","0","26",562381.18009729625192,105.10371864483552
439632.338788882,-2097202.39605066,,"27","0","0","27",584106.27227660617791,118.64265807987034
459934.170970649,-2112187.08170864,,"28","0","0","28",609339.29021352354903,133.77318084322431
472018.594888367,-2127171.76736661,,"29","0","0","29",628589.59165769070387,143.92030779072525
482169.51097925,-2142639.82998128,,"30","0","0","30",647090.99859164515510,149.32818370067352
486525.300962208,-2150808.22106142,,"31","0","0","31",656348.18602702231146,145.97218457060961
494806.047311348,-2160681.41863155,,"32","0","0","32",669234.25565114000347,147.93378589730756
503086.793660489,-2179153.85279502,,"33","0","0","33",689477.81225620384794,134.90847350707787
511686.030253827,-2182975.73572539,,"34","0","0","34",698888.10763529140968,130.74564834186486
518374.325381979,-2193485.91378392,,"35","0","0","35",711345.92183133529034,156.74628212061268
519966.776602967,-2199855.71866787,,"36","0","0","36",717911.76641911477782,158.62726154312111
521978.578795544,-2203528.94511386,,"37","0","0","37",722099.83764410624281,151.16155295405272
525744.586461878,-2210332.05573692,,"38","0","0","38",729875.77025006501935,170.24733078098319
525501.61822534,-2211789.86515614,,"39","0","0","39",731353.68833532894496,216.44863551547436
521857.094677275,-2213612.12693018,,"40","0","0","40",735428.38953486527316,234.57113409573176
516876.245828253,-2218471.49166093,,"41","0","0","41",742387.00152600964066,233.60584037514900
512624.301688843,-2220779.68990804,,"42","0","0","42",747225.05982584552839,245.59061227604613
509344.230495585,-2221994.53109073,,"43","0","0","43",750722.87430520262569,264.99085481955194
503998.929291756,-2221022.65814458,,"44","0","0","44",756155.80923791765235,232.87258924988581
503755.961055218,-2223573.82462822,,"45","0","0","45",758718.51952026353683,191.34089571497316
502662.603990799,-2227096.86405802,,"46","0","0","46",762407.31830770324450,139.90502571388399
505456.738710982,-2226732.41170321,,"47","0","0","47",765225.12141534883995,100.23293152989172
507521.968721552,-2227825.76876763,,"48","0","0","48",767561.91508764366154,138.32338276190958
508372.357549434,-2230012.48289647,,"49","0","0","49",769908.16312224057037,148.02005226775444
509830.16696866,-2231591.77643397,,"50","0","0","50",772057.43657630798407,160.07650763437817
509708.682850391,-2234021.45879934,,"51","0","0","51",774490.15414882078767,194.21118519896689
508372.357549434,-2236815.59351953,,"52","0","0","52",777587.40359704301227,160.51165511684556
510923.52403308,-2238030.43470221,,"53","0","0","53",780413.05211135477293,159.33096778775663
510194.619323467,-2239731.21235798,,"54","0","0","54",782263.44307275780011,175.19952962051229
513717.658753263,-2245197.99768008,,"55","0","0","55",788767.09962748154067,181.72715323241380
512381.333452306,-2247020.25945411,,"56","0","0","56",791026.83485159033444,233.13536560776603
511045.008151349,-2247506.19592718,,"57","0","0","57",792448.76999984565191,238.43225187204141
509101.262259047,-2249328.45770122,,"58","0","0","58",795113.12471852300223,204.85500774605461
508979.778140778,-2251758.14006659,,"59","0","0","59",797545.84229103627149,193.24589147838543
508129.389312896,-2253701.88595889,,"60","0","0","60",799667.47120590915438,235.97234670638181
503998.929291756,-2253823.37007716,,"61","0","0","61",803799.71737200720236,229.54980677483292
503512.99281868,-2256374.53656081,,"62","0","0","62",806396.75119603471830,174.20208140779980
504363.381646562,-2258439.76657138,,"63","0","0","63",808630.20953572785947,186.72875895115828
501204.794571573,-2262813.19482906,,"64","0","0","64",814024.97987702605315,185.31826465440307
502176.667517723,-2264878.42483963,,"65","0","0","65",816307.45923509716522,160.65157153686553
504363.381646562,-2273989.73370979,,"66","0","0","66",825677.50021733273752,150.75213335960285
507036.032248477,-2276662.3843117,,"67","0","0","67",829457.19894604478031,150.71478280742016
507886.421076359,-2280185.4237415,,"68","0","0","68",833081.41858377191238,176.67039636693156
507400.484603283,-2284194.39964437,,"69","0","0","69",837119.73779424407985,182.66004342391517
507521.968721552,-2288567.82790205,,"70","0","0","70",841494.85300598992035,151.25145814247787
511074.916640675,-2290972.81702263,,"71","0","0","71",845785.23895437503234,141.14632353489895
514133.830806896,-2298620.10243818,,"72","0","0","72",854021.61741236236412,171.54884148371755
513780.879172332,-2302737.87150809,,"73","0","0","73",858154.48529912868980,200.08433943031309
511773.912860962,-2305575.60445969,,"74","0","0","74",861630.20710611424875,226.15084128236907
509074.857378147,-2307326.24275742,,"75","0","0","75",864847.29195871064439,275.31661416837659
505578.222829251,-2303996.31092219,,"76","0","0","76",869675.84238257515244,21.80056608942688
505578.222829251,-2303996.31092219,,"77","0","0","77",869675.84238257515244,23.56054819833109
502419.635754261,-2300594.75561067,,"78","0","0","78",874317.74402389349416,296.32431827415883
498653.628087927,-2300230.30325586,,"79","0","0","79",878101.34538527019322,237.31051607607023
497560.271023507,-2303388.89033085,,"80","0","0","80",881443.81482875195798,186.37665012728749
497681.755141776,-2304482.24739527,,"81","0","0","81",882543.90030784311239,172.61641961630482
498167.691614852,-2307762.31858853,,"82","0","0","82",885859.77142848575022,158.01767659327126
498775.112206196,-2308612.70741641,,"83","0","0","83",886904.81732861394994,136.16865292955913
499868.469270615,-2309463.09624429,,"84","0","0","84",888289.94939051358961,138.45561355951367
500597.373980228,-2310677.93742698,,"85","0","0","85",889706.68548974045552,168.58317291104504
500354.405743691,-2312378.71508274,,"86","0","0","86",891424.73036642768420,164.42034774582652
501447.76280811,-2313715.0403837,,"87","0","0","87",893151.34409864875488,155.62413546473627
501690.731044648,-2315172.84980293,,"88","0","0","88",894629.26218391291331,160.74153684644892
502905.572227336,-2317359.56393177,,"89","0","0","89",897130.77328331244644,178.75522353899376
502419.635754261,-2318331.43687792,,"90","0","0","90",898217.36026985582430,232.39838112252392
499504.016915809,-2318938.85746926,,"91","0","0","91",901195.58003775833640,217.20881811684521
499625.501034078,-2320761.11924329,,"92","0","0","92",903021.88679295894690,185.72052193438367
498532.143969658,-2324770.09514616,,"93","0","0","93",907177.28297865809873,196.84503376298753
498167.691614852,-2325863.45221058,,"94","0","0","94",908329.78251845866907,225.45469022459832
495859.493367744,-2326592.3569202,,"95","0","0","95",910750.33642689522821,271.39878422797369
492579.422174485,-2325377.51573751,,"96","0","0","96",914248.15090625267476,250.28978699659635
491729.033346603,-2326835.32515674,,"97","0","0","97",915935.86221491044853,185.91074417030032
492214.969819678,-2328293.13457596,,"98","0","0","98",917472.52826797752641,186.41439143572671
490149.739809108,-2331694.68988749,,"99","0","0","99",921451.94449827331118,233.73212314917805
483225.145067784,-2333395.46754325,,"100","0","0","100",928582.34820114437025,249.81773171345168
479337.653283181,-2335339.21343555,,"101","0","0","101",932928.69614731613547,288.43494882292430
477879.843863955,-2332423.5945971,,"102","0","0","102",936188.45710694510490,6.49730839596058
480188.042111063,-2329629.45987692,,"103","0","0","103",939812.67674467200413,10.95477187453392
479337.653283181,-2326956.809275,,"104","0","0","104",942617.35540692566428,311.82990412704481
