X;Y
-268864.250425968;-927351.192253842
-267356.507803996;-927676.939116614
-264247.952027831;-927639.710903726
-259575.811310362;-926829.997273407
-257044.292833965;-927313.964040954
-256215.965097202;-927676.939116614
-256178.736884314;-928393.582214712
-257481.724335401;-931548.673256987
-257472.417282179;-932470.07152597
-256485.869640642;-935150.50285392
-254996.741125114;-935606.5484618
-251298.981868919;-934336.987758484
-246088.40363657;-931630.547254687
-240849.087692689;-933265.016757852
-237684.220928919;-937253.915651361
-237122.71230954;-939536.411727536
-236233.049302213;-940674.013605758
-235066.278145062;-941614.722851211
-231449.287557896;-945764.052778827
-227066.603398849;-946478.700112582
-222647.457641141;-946865.193058388
-219020.252975188;-945972.041040685
-216024.268223709;-944819.739213193
-212372.357816581;-946308.867728721
-208489.987043954;-948950.298071741
-200565.696014895;-957548.242476873
-194686.091790063;-965146.212686568
-192346.986980542;-970350.558204153
-189249.456462889;-975910.228364044
-185993.078226383;-979722.573616541
-179956.864909931;-987108.992543252
-175509.12878202;-992430.391124859
-171379.088091816;-998069.485144178
-168152.254894287;-1001901.29035817
-167328.47126104;-1003470.30758521
-164230.940743387;-1007600.34827542
-161692.213108523;-1010143.92263786
-160418.595490891;-1011412.69352792
-154302.958315013;-1018322.56929807
-147790.201841999;-1024676.47805223
-138100.490991906;-1034207.34118347
-128807.899438948;-1043102.8134393
-118641.645432293;-1051283.47096028
-107998.848269076;-1060178.9432161
-103074.568984602;-1064308.98390631
-100135.886185803;-1067168.24284568
-91002.1423516985;-1077811.0400089
-84251.1143004039;-1087739.02243728
-80518.1929073353;-1094092.93119144
-78691.4441405144;-1097269.88556852
-74323.1318720298;-1103147.25116612
-67492.6799613081;-1112678.11429737
-61853.5859419913;-1120064.53322408
-55261.4056095507;-1128562.88618277
-42791.8596795124;-1145083.04894359
-36596.7986442065;-1152946.01102687
-28574.9888420798;-1163429.96047124
-18647.0064137049;-1175264.11552587
-18558.1222750223;-1175407.31855519
-12372.521518972;-1185271.52181367
-3794.74470085622;-1199329.54493226
5259.57527382206;-1216008.55541194
13757.9282325113;-1234434.89079902
17173.1541878726;-1243568.63463313
18999.9029546936;-1249922.54338729
20191.2608460987;-1254846.82267177
21779.738034636;-1264536.5335217
22494.5527694788;-1272399.49560497
22812.2482071868;-1283915.95522189
21700.3141752088;-1303771.92007864
21144.34715922;-1319100.72494805
20032.4131272421;-1326963.68703132
19238.1745329721;-1336573.97402199
18364.5120792753;-1344198.66452698
17252.5780472974;-1351823.35503197
16537.7633124544;-1363736.93394602
15981.7962964654;-1369693.72340304
14949.2861239146;-1376127.05601663
13996.1998107907;-1382401.54091136
13043.1134976668;-1389152.56896265
13326.3402783416;-1391849.06969923
12857.5695594597;-1396342.76109369
10362.5902170481;-1431929.04539861
10625.2196215125;-1453202.02716023
12463.6254527629;-1468959.79142809
14302.0312840134;-1477626.56177541
19291.9899688366;-1490758.03199863
27958.7603161611;-1514657.30780489
28873.2428839524;-1517669.27166305
25944.9991417738;-1511435.23734849
20484.041925987;-1499661.00568252
18817.4066868456;-1496526.26539447
17128.4736146532;-1492816.48607551
12242.7028680838;-1483437.55116022
5568.39104464514;-1469914.43570097
420.882579509422;-1460579.12373877
-4813.87179181506;-1453206.84466582
-10179.4950224229;-1445790.94263978
-14847.1510035204;-1440163.58169061
-17202.7904706164;-1437284.46678638
-19732.9217500898;-1434667.08960072
-22350.2989357521;-1432136.95832124
-24575.069543565;-1430392.04019747
-29199.1025715684;-1426858.58099682
-33081.5453969674;-1424153.95790497
-36440.5127852338;-1421318.46595384
-39450.4965487453;-1418744.71172127
-43071.2016555782;-1415385.74433301
-46997.2674340716;-1411416.05560142
-51228.6938842255;-1407228.25210436
-54762.1530848695;-1404087.39948156
-60825.7435649871;-1398939.89101643
-66191.3667955947;-1394141.36617605
-71644.2359323909;-1389430.08724185
-76617.2525851492;-1384762.43126076
-80499.6954105482;-1381054.48024774
-84818.3677668909;-1376037.84064188
-88657.1876391955;-1370715.84036437
-92801.3681831607;-1364521.38102497
-94371.7944945581;-1362165.74155787
-97905.2536952021;-1358370.54463866
-106237.237736227;-1349602.3310667
-110904.893717325;-1344498.44555465
-117840.94325933;-1336777.18285695
-124166.271458013;-1329404.903784
-129880.878313376;-1322774.21491366
-136380.698324437;-1314834.83745048
-141266.469071007;-1308727.62401727
-145977.748005199;-1302751.27944334
-149511.207205843;-1297821.88574368
-154745.961577167;-1290929.45915477
-161245.781588228;-1281812.26195804
-166218.798240987;-1274876.21241604
-169708.634488536;-1269815.94985709
-172587.749392765;-1265671.76931312
-175423.241343899;-1261745.70353463
-178520.471013599;-1256685.44097569
-181268.717058545;-1251843.29318221
-185412.897602534;-1244340.14525014
-191912.717613595;-1232954.5544925
-194835.455470918;-1228243.27555831
-200201.078701525;-1219344.19312705
-203734.537902169;-1213324.22560002
-207224.374149718;-1207740.48760394
-210626.964491079;-1201240.66759287
-214509.407316478;-1193955.63442611
-217999.243564027;-1187368.56850885
-222012.555248709;-1180170.78124828
-224629.932434371;-1175852.10889193
-227203.686666939;-1171140.82995774
-230344.539289733;-1164684.63289977
-233790.752584188;-1158097.56698251
-237847.687221964;-1149896.45180077
-241773.753000457;-1141651.71366593
-244173.015420647;-1136722.31996626
-247575.605762008;-1128521.20478451
-250890.95019718;-1120887.187993
-254380.786444729;-1113340.41710767
-256988.854443972;-1107399.19597466
-259913.501221041;-1101270.23428045
-263538.547301261;-1094492.74588444
-264180.959904215;-1093510.73644792
-265218.378004819;-1091154.24839265
-267362.822209348;-1087024.20770245
-271651.710618405;-1077413.92071178
-274352.121838922;-1070265.77336334
-275702.327449181;-1064626.67934402
-276734.837621732;-1057637.37971445
-278323.314810271;-1050092.11306888
-279196.977263968;-1048106.5165832
-280388.335155373;-1045882.64851925
-281103.149890215;-1043658.78045529
-282373.931641047;-1042070.30326675
-283962.408829587;-1041355.48853191
-285405.213661493;-1040939.02254309
-283556.055544583;-1039266.08120065
-283466.064810206;-1038456.23047158
-283736.00413673;-1037736.14290471
-285895.960247746;-1036835.75304688
-286165.946255855;-1035485.7526497
-284545.98133887;-1034676.01679829
-284275.926061231;-1032965.83658772
-283916.042865995;-1032336.21697798
-283016.096659721;-1032066.31280628
-281035.935630327;-1034405.80521819
-278785.986287461;-1034586.01808123
-274195.962903566;-1033325.94756048
-272845.977853501;-1034136.03589042
-271406.033998204;-1032785.9998978
-268345.997915488;-1032426.07589769
-264836.053149292;-1030716.34557259
-264656.037456531;-1030356.13010695
-264836.052721387;-1028736.33764367
-264385.974071821;-1028285.7991338
-262765.952374546;-1028195.87120493
-261415.937089866;-1028735.72744957
-261685.981294125;-1027025.87455473
-262315.996235686;-1025946.01147863
-262315.891819452;-1024595.61859087
-263035.930582497;-1023155.6359641
-263755.921254081;-1020545.6598666
-265286.011035904;-1018116.15428416
-265646.075509199;-1018476.3599673
-265466.05693471;-1018836.32596241
-265555.885648928;-1020275.69508607
-265915.956688114;-1020095.90826571
-265915.943928049;-1020545.68857976
-265105.896522012;-1021625.6597041
-265915.978963877;-1020906.0097913
-266365.903555909;-1021175.73869617
-266816.035594077;-1019736.12416718
-266726.027635744;-1018206.11123593
-266365.962378425;-1018025.96697044
-266455.910168691;-1017305.64804158
-267265.94597243;-1016855.65969494
-268795.959572257;-1017845.82103792
-270235.959103981;-1018205.78344068
-271046.036688384;-1019016.0765092
-271045.876647309;-1019285.6515542
-272306.046524691;-1019556.13469026
-273835.970447641;-1021085.92559324
-274646.032750718;-1020546.01516371
-275995.961453955;-1020905.95232656
-276806.095417775;-1021896.34748171
-277076.030322327;-1022706.16106505
-278965.981994175;-1024505.835469
-279955.951076009;-1025045.91692524
-280136.054591944;-1025226.21670473
-280136.036657711;-1025586.00500988
-280855.97197161;-1026126.02683207
-280855.99954357;-1026396.10870777
-281125.939077635;-1026665.6614458
-281126.058681278;-1027026.33605316
-281305.95906488;-1027205.76066764
-281305.950516578;-1027475.86690139
-281576.074241301;-1027746.21000549
-281576.113123494;-1028916.37745858
-281846.053669539;-1029096.18617599
-281935.873607121;-1028825.62395442
-281846.010283397;-1028826.08164211
-281756.085479168;-1027386.18024177
-281306.065641698;-1026756.12468041
-281306.064942954;-1026396.25878506
-281126.083664264;-1026126.27327826
-281125.944044184;-1025675.83527935
-280945.891750863;-1025495.62223714
-280855.979974469;-1024955.87820711
-280585.951246793;-1024865.87980354
-280585.981953543;-1024506.0329317
-279865.975895157;-1023426.01544922
-279865.997082949;-1023155.94323826
-278606.07941291;-1022436.18422611
-278605.873721424;-1022075.67036722
-278155.9431296;-1021805.76236074
-278156.11549839;-1021626.30806991
-277706.086263817;-1021086.3670558
-277705.878692896;-1020815.60668672
-277525.888361598;-1020725.7015709
-277525.962219966;-1020455.73402347
-277255.864912682;-1020275.60577431
-277345.897102152;-1019915.64766479
-276176.050438278;-1018836.26502301
-276175.877021018;-1018295.67829361
-275545.93900123;-1017575.7223819
-275635.983570738;-1016946.07100668
-275096.099307028;-1017666.39201668
-273836.08237686;-1017306.38884309
-272665.924751413;-1016045.68308266
-272665.963418848;-1015235.73779036
-272485.902820994;-1015055.75207204
-269696.108690922;-1014606.3197383
-268615.928309982;-1013885.66831944
-268255.932921077;-1013165.81494028
-267896.021968561;-1012896.09144164
-268255.909529322;-1011545.7253796
-268076.108021761;-1010016.27891535
-268795.995341289;-1007586.02443884
-271226.061604143;-1002726.30749217
-272936.107216556;-1001196.32637105
-272846.016108946;-1001106.18785006
-274575.81415684;-996797.586825198
-276602.97751356;-992851.087949881
-280161.296171633;-981615.42721742
-282856.992124719;-974434.0931984
-284602.3088857;-960960.393834765
-283861.123705516;-952708.532162048
-283910.536050861;-940355.445825644
-285244.669375193;-930028.265648411
-285479.520940647;-926463.479366861
-287221.734889265;-921933.723100452
-290783.594517553;-914229.265861004
-293607.033429083;-910551.258636142
-296260.172905127;-910367.043510281
-299419.522143737;-908735.291705725
-274214.164481862;-902590.183846012
-273346.211394332;-904291.371897571
-272825.439541814;-907068.821777667
-272929.593912317;-912033.513438339
-273020.395288619;-914569.016597296
-271252.807893935;-920722.839378789
-268864.250425968;-927351.192253842
