x;y
-329180.570607169;-1284296.14596401
-320166.897036716;-1290551.69176151
-314277.47737052;-1294140.89370358
-309365.931022357;-1296753.24122561
-300320.521916357;-1300669.6842876
-287740.417037968;-1304684.54296084
-281430.6295492;-1306369.27436737
-272176.384410248;-1308535.82929968
-269816.610450938;-1309097.77344845
-277581.918457322;-1307463.77495186
-283083.05652782;-1306474.03044545
-287548.415463705;-1305737.47639417
-293256.709361125;-1305069.9742852
-297424.892991422;-1304958.74130649
-297560.947098293;-1304954.88771468
-300898.457643156;-1305116.0089134
-304650.279841864;-1305622.38982366
-310105.383284156;-1306773.25552878
-316158.936893114;-1308499.55408647
-319496.447437977;-1309535.33322108
-324583.27385463;-1311238.61446467
-330544.758207178;-1313540.34587492
-333687.711732051;-1314869.29640716
-335838.740450753;-1315773.02534286
-342905.055880221;-1319087.51857362
-347853.778412258;-1321504.33655438
-353880.295469848;-1324442.10277842
-362302.948655787;-1327953.85256759
-369236.83361462;-1331154.10716397
-373183.814283493;-1332860.90961538
-377450.820412006;-1334354.36176036
-382571.227766221;-1335421.11329248
-388545.036346138;-1336061.16421176
-394945.545538906;-1335634.46359891
-400065.952893121;-1335101.08783285
-405933.086319825;-1333287.61022823
-412546.94581902;-1330407.38109148
-422147.709608172;-1324753.5979712
-430361.696405558;-1319206.49000414
-438148.982590093;-1313872.7323435
-447429.720919608;-1306298.79646539
-452656.803427035;-1301071.71395796
-458417.261700527;-1294991.23022483
-465884.522425423;-1286243.86766138
-468243.846295151;-1283344.16513638
-467425.989107809;-1282986.13128119
-469226.160003765;-1280376.29857152
-469315.969276379;-1280015.69399266
-468955.922029013;-1280105.79962146
-469046.031969601;-1279296.33122534
-470215.836107165;-1277765.80368053
-475435.974341481;-1274795.91936833
-478495.793773322;-1273265.65770541
-482816.018790536;-1272366.08573976
-493702.963908347;-1275632.05392811
-499460.45489339;-1272456.71041515
-503647.721064331;-1271793.72660475
-504206.023220456;-1267815.82374236
-503961.766027151;-1265198.78238552
-503612.827179573;-1262616.63491344
-502810.267830142;-1258638.73205105
-501728.557402649;-1255707.64573139
-499498.557769702;-1251734.38650695
-492200.399823282;-1245624.30078437
-488127.009341559;-1246699.2232726
-485155.905304593;-1244825.61779836
-485156.039061242;-1244646.18650692
-484076.045885512;-1243926.08800526
-484076.042899699;-1242666.1643527
-484615.956889808;-1242845.87263275
-484525.994130194;-1243115.93012772
-484706.022992779;-1243295.98388414
-485965.927164928;-1242755.61546595
-485425.941919932;-1242485.77544018
-485246.016753336;-1241675.96878568
-484795.995608566;-1241405.90424318
-484886.059313815;-1241226.2941135
-485388.381300855;-1241180.62964956
-485197.055393129;-1240450.2704937
-483805.793553502;-1239659.78081209
-482446.151301139;-1238964.14989228
-481813.759555854;-1238300.13855973
-481244.606985098;-1237572.88805265
-480612.215239812;-1236561.06126019
-479790.105970942;-1236023.5282767
-479094.475051129;-1235612.47364227
-477481.876100652;-1234853.60354793
-476122.23384829;-1234410.92932623
-474762.591595927;-1233620.43964462
-472074.926678466;-1231944.60151962
-470557.186489782;-1230743.05720357
-466225.30303458;-1227264.90260451
-462620.670086457;-1224039.70470355
-460691.875263337;-1222237.38822949
-457182.101077006;-1220308.59340637
-452723.739272747;-1218790.85321769
-447759.46407226;-1217968.74394882
-441056.11157224;-1217873.88518702
-437199.189420665;-1218405.03281397
-424039.464842262;-1223227.33477941
-420589.468514356;-1224879.26831171
-406420.500322983;-1231532.41272121
-399268.041207539;-1234885.9714427
-396139.822723125;-1236354.90745415
-388258.784797859;-1240784.45477714
-381054.324425924;-1245767.03177129
-359824.058150589;-1261210.68530207
-343314.038963118;-1273687.35021597
-329180.570607169;-1284296.14596401
